nr_2012,latid_noiseUL,longit_noiseUL,latid_noiseUM2,longit_noiseUM2
361,46.81587,31.95573,46.94284,32.06955
362,46.93492,32.00981,46.87206,31.95302
364,46.95997,31.96937,46.95493,32.09548
365,47.1917,32.83892,47.0929,32.77591
366,47.18356,32.83566,47.13739,32.84171
367,47.28557,32.75526,47.15432,32.81607
368,47.23079,32.81871,47.17792,32.81792
369,47.28189,32.87954,47.18598,32.83433
370,47.21138,32.86029,47.30281,32.90873
371,47.1881,32.89042,47.27252,32.79972
372,47.22817,32.81787,47.23285,32.77465
373,47.93921,30.45424,47.96959,30.33773
374,47.86701,30.4338,47.9582,30.44952
375,47.88397,30.47542,47.94506,30.39585
376,47.91668,30.4745,47.89823,30.50411
377,47.97872,30.43073,47.81094,30.52555
378,47.89713,30.50466,47.94027,30.46421
379,47.9785,30.52063,47.91701,30.49287
380,47.7835,31.15472,47.89405,31.09633
381,47.84975,31.14986,47.75647,31.22765
382,47.84591,31.22952,47.89584,31.28235
383,47.75524,31.21324,47.80414,31.18741
384,47.79012,31.24742,47.83868,31.26467
385,47.80617,31.15658,47.83931,31.1636
386,47.81296,31.25485,47.79285,31.13246
387,47.86956,31.13036,47.81097,31.13782
388,47.77737,31.10131,47.87337,31.14747
389,47.75769,31.15265,47.76279,31.14102
390,47.84097,31.18841,47.80657,31.16309
391,47.85855,31.19132,47.80571,31.23353
392,51.49733,31.37762,51.44748,31.22627
393,51.506,31.28979,51.59471,31.33936
394,51.45301,31.23919,51.50817,31.27112
395,51.51664,31.29209,51.4767,31.25692
396,51.54354,31.32679,51.49276,31.35241
397,51.53011,31.21729,51.51207,31.32693
398,51.54726,31.36471,51.54187,31.25898
399,51.45618,31.23428,51.48507,31.30803
400,51.55232,31.26299,51.50856,31.26961
401,51.57251,31.30176,51.44563,31.36782
402,51.46032,31.29345,51.4957,31.15778
403,51.52107,31.22479,51.5092,31.26982
404,51.45555,31.28166,51.51259,31.36298
405,51.5069,31.27132,51.47935,31.32776
406,51.5107,31.32779,51.48964,31.32824
407,51.53406,31.35307,51.46284,31.34021
408,51.50204,31.23914,51.45785,31.27935
409,51.10428,32.02599,51.15145,32.07542
410,51.03762,32.07244,51.04879,32.09451
411,51.04501,31.98298,50.98135,31.9908
412,51.02148,32.09674,51.02925,32.02549
413,51.07903,31.9405,51.03119,32.0332
414,50.99868,32.06014,51.02383,32.04644
415,51.10522,32.0464,51.04669,32.05849
416,51.08366,32.0676,50.95938,32.07728
417,51.03099,32.04914,51.03495,32.04021
418,51.5517,31.11461,51.61404,31.20615
419,51.46935,31.09972,51.59061,31.21446
420,51.58074,31.20098,51.60577,31.15625
421,51.5615,31.15387,51.56163,31.22618
422,51.55225,31.1314,51.5603,31.14377
423,51.538,31.20461,51.51372,31.1575
424,51.58039,31.1749,51.52335,31.14577
425,51.64149,31.22063,51.61142,31.20201
426,51.26656,32.44846,51.23535,32.42082
427,51.27129,32.45584,51.23776,32.49322
428,51.2962,32.46929,51.23714,32.44904
429,51.29836,32.4229,51.20229,32.41677
430,51.21339,32.43472,51.25833,32.35887
431,51.2287,32.4689,51.25399,32.44793
432,51.26057,32.37647,51.28324,32.29594
433,51.23001,32.44862,51.26183,32.49718
434,51.34106,32.48965,51.13096,32.44006
435,51.31862,32.41346,51.33272,32.46972
436,48.60971,22.25354,48.56796,22.21722
437,48.64662,22.26434,48.57734,22.3247
438,48.5771,22.21161,48.64126,22.23615
439,48.59425,22.26341,48.68298,22.28465
440,48.6076,22.33535,48.59406,22.37143
441,48.6078,22.33747,48.63067,22.31553
442,48.51438,22.25317,48.61822,22.35356
443,48.59125,22.26511,48.69621,22.27736
444,48.58422,22.29734,48.53682,22.39802
445,48.63826,22.19353,48.70265,22.21328
446,48.33651,23.00467,48.33093,23.08056
447,48.39187,23.02286,48.34333,23.08716
448,48.30816,23.0706,48.28275,22.9953
449,48.41699,23.01495,48.33735,23.10843
450,48.32162,23.13887,48.41076,23.09068
451,48.33874,23.05888,48.3665,22.95894
452,48.31,23.03878,48.31153,23.05085
453,48.73521,22.48037,48.6339,22.49791
454,48.73963,22.54496,48.70417,22.50913
455,48.76011,22.48109,48.77916,22.55193
456,48.73929,22.523,48.77293,22.46955
457,48.79752,22.52642,48.71481,22.51473
458,48.7433,22.49879,48.75097,22.61456
459,48.76659,22.43645,48.79322,22.47931
460,48.7291,22.50741,48.72181,22.43737
461,48.7653,22.55051,48.71478,22.47657
462,48.52453,22.54944,48.47319,22.52738
463,48.40292,22.5501,48.50738,22.55303
464,48.49128,22.54547,48.48031,22.53549
465,48.39182,22.48123,48.44738,22.51744
466,48.45842,22.56545,48.35558,22.50103
467,48.43872,22.48858,48.46811,22.5651
468,48.48582,22.5954,48.47916,22.55414
469,48.44073,22.51486,48.52478,22.51764
470,48.43513,22.54371,48.46907,22.51523
471,48.50603,22.55864,48.46621,22.56005
472,48.09462,22.92625,48.04012,22.9529
473,48.1209,22.99288,48.11916,23.0036
474,48.05849,22.97007,48.16286,23.03246
475,48.14432,22.98367,48.06173,23.00233
476,48.12301,23.05034,48.12446,22.9268
477,48.10992,23.01714,48.08278,23.06825
478,48.16567,23.10301,48.12516,23.03369
479,48.11111,23.0214,48.23601,23.00077
480,48.10698,22.97467,48.03488,23.05025
481,48.15842,22.93064,48.19889,22.92298
482,48.28934,25.90432,48.28371,25.9625
483,48.28679,25.97191,48.27316,25.98717
484,48.32501,25.89843,48.31026,26.01894
485,48.34785,25.90808,48.26514,25.93029
486,48.29922,25.88762,48.28047,25.95985
487,48.32527,25.90763,48.2877,25.94831
488,48.33657,25.94816,48.431,25.87677
489,48.32653,25.86188,48.31329,25.92858
490,48.30168,25.92636,48.39172,25.92931
491,48.27634,25.93337,48.23419,25.90028
492,48.32705,25.97306,48.29356,25.93431
493,48.339,25.9501,48.27776,25.9827
494,48.2776,25.96934,48.28802,25.90176
495,48.3149,25.9566,48.31176,25.96807
496,48.25582,25.89346,48.31483,25.99379
497,48.25929,25.8962,48.15852,25.84914
498,48.299,25.83423,48.27242,25.90401
499,48.23024,25.90648,48.18258,25.86754
500,48.20443,25.89432,48.11704,25.88734
501,48.23574,25.943,48.21854,25.97844
502,48.2247,25.94598,48.25837,26.01182
503,48.17702,25.86065,48.29392,25.97676
504,48.19934,25.88504,48.19964,25.98352
505,48.22383,25.90552,48.24492,25.99953
506,48.18174,25.85489,48.25393,25.88782
507,48.39473,26.06658,48.41516,26.26022
508,48.40844,26.11037,48.34176,26.19021
509,48.395,26.20601,48.51858,26.12552
510,48.40612,26.07817,48.33594,26.14425
511,48.44611,26.07893,48.49339,26.10079
512,48.43624,26.17053,48.50778,26.17642
513,48.42688,26.12466,48.49447,26.07458
514,48.41676,26.13024,48.45506,26.0815
515,48.37028,26.06523,48.33808,26.1495
516,48.37923,26.11169,48.32278,26.12931
517,50.87604,34.84287,50.90621,34.7106
518,50.90181,34.85388,51.00149,34.79617
519,50.89196,34.72326,50.90278,34.79696
520,50.84159,34.73653,50.92517,34.79196
521,50.91752,34.86979,50.87977,34.83577
522,50.89895,34.79475,50.80925,34.84161
523,50.91299,34.9281,50.92712,34.83917
524,50.86427,34.82626,50.92221,34.81728
525,50.92349,34.81823,50.92552,34.82079
526,50.89602,34.7831,50.87198,34.75333
527,50.90378,34.82631,50.89179,34.84433
528,50.84148,34.78329,50.87137,34.76945
529,50.8599,34.75997,50.7965,34.86746
530,50.9256,34.85763,50.89349,34.93245
531,50.84158,34.90194,50.99833,34.75997
532,50.86552,34.71797,50.86169,34.84291
533,50.89431,34.85142,50.7575,34.80776
534,50.85201,34.8219,50.97156,34.89487
535,50.78247,34.75746,50.88382,34.78112
536,50.81111,34.72498,50.80529,34.76171
537,50.76346,34.76451,50.82993,34.70411
538,50.82187,34.72551,50.81202,34.80117
539,50.78258,34.75701,50.88366,34.67213
540,50.86536,34.73622,50.87638,34.65046
541,50.78494,34.67503,50.77366,34.66706
542,50.82602,34.71524,50.86721,34.72825
543,51.17595,33.88586,51.27518,33.84101
544,51.19297,33.78317,51.13927,33.77746
545,51.13467,33.81226,51.1451,33.8216
546,51.17937,33.82974,51.2057,33.81281
547,51.24243,33.77026,51.22049,33.84877
548,51.1897,33.78743,51.25126,33.84657
549,51.23864,33.78136,51.24409,33.79065
550,51.12191,33.78873,51.07306,33.82051
551,51.16209,33.88465,51.21246,33.87404
552,51.24281,33.79164,51.14946,33.7461
553,51.18808,33.73531,51.16845,33.82978
554,51.25462,33.88054,50.97298,33.92643
555,51.16098,33.86017,51.10914,33.78388
556,51.92305,33.57425,51.99413,33.49069
557,51.85869,33.49124,51.94529,33.49657
558,51.90157,33.54053,51.99116,33.49614
559,51.92399,33.5795,51.9426,33.51279
560,51.86744,33.58121,51.88786,33.57452
561,51.92723,33.53093,51.91293,33.4295
562,51.82197,33.56521,52.0177,33.60796
563,51.95269,33.60783,51.92233,33.53551
564,47.84228,35.17212,47.86869,35.08022
565,47.90131,35.19192,47.7735,35.2101
566,47.88681,35.11028,47.77922,35.13538
567,47.84315,35.14537,47.83986,35.13632
568,47.86923,35.15652,47.81131,35.13779
569,47.79293,35.08798,47.90707,35.17026
570,47.84019,35.19082,47.88683,35.2064
571,47.81101,35.1571,47.78204,35.27019
572,47.86397,35.13181,47.80944,35.04755
573,47.80873,35.16306,47.91153,35.10905
574,47.83736,35.16367,47.91377,35.0737
575,47.844,35.13854,47.7914,35.22565
576,47.8797,35.11104,47.81268,35.10979
577,47.85732,35.10641,47.82642,35.1625
578,47.85406,35.10347,47.84601,35.20038
579,47.8954,35.10994,47.75757,35.10497
580,47.80685,35.14407,47.90269,35.17313
581,47.89044,35.0896,47.8458,35.12183
582,47.8969,35.1464,47.85467,35.17159
583,47.88342,35.15458,47.91598,35.17289
584,47.83436,35.06576,47.908,35.1879
585,47.87156,35.16642,47.77465,35.14231
586,47.84847,35.13688,47.86937,35.2664
587,47.86894,35.08936,47.82252,35.11704
588,47.89688,35.1618,47.87439,35.13705
589,47.84481,35.13231,47.77098,35.18148
590,47.91607,35.05273,47.86872,35.09774
591,47.81554,35.14247,47.85036,35.06927
592,47.81025,35.16615,47.8056,35.17579
593,47.8311,35.15417,47.92056,35.07592
